C_si C_sc C_sc C_sc C_sc C_sc C_sc C_sc C_sc C_sc C_sc C_sc C_sc C_sd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc Tree C_cc C_cc Pl_1 C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc Tree C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ci C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cc C_cd
C_ii C_ic C_ic C_ic C_ic C_ic C_ic C_ic C_ic C_ic C_ic C_ic C_ic C_id
